Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Quantum of Solace,2008,PG-13,14 Nov 2008,106 min,"Action, Adventure, Mystery",Marc Forster,"Paul Haggis, Neal Purvis, Robert Wade","Daniel Craig, Olga Kurylenko, Mathieu Amalric",James Bond tries to stop an organisation from eliminating a country's most valuable resource.,"English, Spanish, Italian, French, Swiss German, German","United Kingdom, United States, Italy",Nominated for 2 BAFTA 4 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BYmMwZTA3MTAtNWU0Yy00NGZmLTg0YmItZTVkZGFjZTI1ZWJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,6.5,"490,206",tt0830515,movie,,"$168,368,427",,,tt0830515,106.0,6.5,490206.0,58.0,2008
The Girl Next Door,2007,R,17 Oct 2008,91 min,"Crime, Drama, Horror",Gregory Wilson,"Daniel Farrands, Philip Nutman, Jack Ketchum","William Atherton, Blythe Auffarth, Blanche Baker","In a quiet suburban town in the summer of 1958, two recently orphaned sisters are placed in the care of their mentally unstable Aunt Ruth. But Ruth's depraved sense of discipline will soon lead to unspeakable acts of abuse and tor...",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTUwMDcyNjE1MF5BMl5BanBnXkFtZTcwOTA1Njg0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29.0,6.5,"31,256",tt0830558,movie,,,,,tt0830558,91.0,6.5,31256.0,29.0,2007
Pee-wee's Big Holiday,2016,TV-PG,18 Mar 2016,90 min,"Comedy, Family",John Lee,"Paul Reubens, Paul Rust","Paul Reubens, Jordan Black, Doug Cox",A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"English, Spanish",United States,,https://m.media-amazon.com/images/M/MV5BMjIyODA1MzYyM15BMl5BanBnXkFtZTgwMjQxODYyODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,6.1,"9,390",tt0837156,movie,,,,,tt0837156,90.0,6.1,9390.0,63.0,2016
Cloudy with a Chance of Meatballs,2009,PG,18 Sep 2009,90 min,"Animation, Adventure, Comedy","Phil Lord, Christopher Miller","Phil Lord, Christopher Miller, Judi Barrett","Anna Faris, Bill Hader, Bruce Campbell",A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know that things are about to take a turn for the worst.,"English, French, Spanish, German",United States,1 win & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,6.9,"275,114",tt0844471,movie,,"$124,870,275",,,tt0844471,90.0,6.9,275114.0,66.0,2009
Mukhsin,2006,,08 Mar 2007,95 min,"Comedy, Drama, Family",Yasmin Ahmad,Yasmin Ahmad,"Mohd Syafie Naswip, Sharifah Aryana, Salehuddin Abu Bakar","An endearing coming-of-age film - riding a bike, flying a kite, climbing trees, being raised by goofy yet loving parents and a friendship that lasts a lifetime. Written and directed by the late Yasmin Ahmad.","Malay, English, Mandarin",Malaysia,5 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNzM1NjY4ODItYzIzYi00NWM3LWFjYWEtZjE5ZmVhNDk4Njc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,501,tt0863091,movie,,,,,tt0863091,95.0,7.3,501.0,,2006
Mr. Peabody & Sherman,2014,PG,07 Mar 2014,92 min,"Animation, Adventure, Comedy",Rob Minkoff,"Jay Ward, Craig Wright, Robert Ben Garant","Ty Burrell, Max Charles, Stephen Colbert","Sherman, a young boy, misuses a time machine made by his scientist father Mr. Peabody and causes the world history to go haywire. It is now up to Mr. Peabody to rescue his son and the world.",English,"United States, India",Nominated for 1 BAFTA Award2 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZWMyODZlZTktNWE0Ny00YzUzLWFkOTQtZjFjYjA5ZWMyZmU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.7,"82,513",tt0864835,movie,,"$111,506,430",,,tt0864835,92.0,6.7,82513.0,59.0,2014
Katt Williams: The Pimp Chronicles Pt. 1,2006,TV-MA,16 Sep 2006,45 min,"Documentary, Comedy","Anthony Anderson, Gary Binkow, James Yukich",Katt Williams,"Katt Williams, Anthony Anderson, André 3000","In-demand comedian Katt Williams offers up The Pimp Chronicles courtesy of HBO. Williams shares his thoughts on such topics as drugs, politics and pop culture in this special event.",English,United States,,https://m.media-amazon.com/images/M/MV5BZDRmOTJmZTEtMDBjZC00Y2NkLTk1ZDUtMjNlZjdiNDBhNjcwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",,7.7,"2,190",tt0865482,movie,,,,,tt0865482,45.0,7.7,2190.0,,2006
The Blind Side,2009,PG-13,20 Nov 2009,129 min,"Biography, Drama, Sport",John Lee Hancock,"John Lee Hancock, Michael Lewis","Sandra Bullock, Tim McGraw, Quinton Aaron","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",English,United States,Won 1 Oscar. 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,7.6,"381,018",tt0878804,movie,,"$255,982,860",,,tt0878804,129.0,7.6,381018.0,53.0,2009
Eternal Summer,2006,Not Rated,13 Oct 2006,95 min,"Drama, Romance",Leste Chen,"Leste Chen, Cheng-Ping Hsu, Chi-yao Wang","Hsiao-chuan Chang, Ray Chang, Kate Yeung",Inseparable childhood friends Shou-heng and Cheng-shing have their world thrown into chaos when a new girl comes to town and falls for Shou-heng. Director Leste Chen's sensitive tale of friendship and yearning.,Mandarin,Taiwan,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BMDQ3ZGNlZjMtMjM1Yy00OTg3LThhNTItZTQxMDQ5OTJkYTNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"3,325",tt0885520,movie,,,,,tt0885520,95.0,6.9,3325.0,,2006
Luck by Chance,2009,Not Rated,30 Jan 2009,156 min,Drama,Zoya Akhtar,"Zoya Akhtar, Javed Akhtar, Athar Nawaaz","Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor","When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.","Hindi, English",India,8 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BMTY4NjIxNDc3Nl5BMl5BanBnXkFtZTcwNDc4NTk5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,7.1,"11,220",tt0886539,movie,,"$356,019",,,tt0886539,156.0,7.1,11220.0,58.0,2009
How to Train Your Dragon,2010,PG,26 Mar 2010,98 min,"Animation, Action, Adventure","Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",English,"United Kingdom, France, United States",Nominated for 2 Oscars. 25 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,8.1,"868,640",tt0892769,movie,,"$217,581,231",,,tt0892769,98.0,8.1,868640.0,75.0,2010
Shrek Forever After,2010,PG,21 May 2010,93 min,"Animation, Adventure, Comedy",Mike Mitchell,"Josh Klausner, Darren Lemke, William Steig","Mike Myers, Eddie Murphy, Cameron Diaz",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.,English,"United States, France",1 win & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,6.3,"240,507",tt0892791,movie,,"$238,736,787",,,tt0892791,93.0,6.3,240507.0,58.0,2010
Cleaner,2007,R,18 Jan 2008,88 min,"Crime, Thriller",Renny Harlin,Matthew Aldrich,"Samuel L. Jackson, Ed Harris, Eva Mendes",A former cop who now earns a wage as a crime scene cleaner unknowingly participates in a cover-up at his latest job.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BZDAzMGU2ZWItNDJiOS00MjgxLWJlOTMtOTc5MTlkMGI3Njg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.1,"47,282",tt0896798,movie,,,,,tt0896798,88.0,6.1,47282.0,49.0,2007
Manorama: Six Feet Under,2007,Not Rated,21 Sep 2007,137 min,"Crime, Drama, Mystery",Navdeep Singh,"Devika Bhagat, Navdeep Singh, Manoj Tapadia","Abhay Deol, Gul Panag, Raima Sen","Manorama, wife of an irrigation minister, tasks Satyaveer to find if her husband is cheating. As Satyaveer starts investigating, he gets trapped in a web of lies and must uncover the entire truth.",Hindi,India,2 nominations total,https://m.media-amazon.com/images/M/MV5BMzdhMjI4NWItOWMwMy00ZWYzLWI3ODItNzNlNTNjNTkwZmZjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"8,953",tt0920464,movie,,,,,tt0920464,137.0,7.5,8953.0,,2007
Falafel,2006,,30 Jul 2008,83 min,Drama,Michel Kammoun,Michel Kammoun,"Elie Mitri, Gabrielle Bou Rached, Caroline Azzam",Everything bad that can happen on the way to a party happens to young Tou on this nighttime trip through Beirut.,"Arabic, French","France, Lebanon",7 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjExODgzMDUyNl5BMl5BanBnXkFtZTcwMjk4OTk1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,291,tt0922424,movie,,,,,tt0922424,83.0,6.4,291.0,,2006
Ezra,2007,Not Rated,13 Feb 2008,110 min,Drama,Newton I. Aduaka,"Newton I. Aduaka, Alain-Michel Blanc","Mamoudu Turay Kamara, Mariame N'Diaye, Mamusu Kallon","Ezra is the first film to give an African perspective on the disturbing phenomenon of abducting child soldiers into the continent's recent civil wars. Ezra is structured around the week-long questioning of a 16 year old boy, Ezra,...",English,"France, Nigeria, United States, United Kingdom, Austria",8 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZGIwYzJjZjItMmVhYi00NWViLTkyOGYtMjdhOGVlZmIyYjFjXkEyXkFqcGdeQXVyMTQ2MzQxMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.4,290,tt0923688,movie,,,,,tt0923688,110.0,6.4,290.0,56.0,2007
Twins Mission,2007,Not Rated,15 Feb 2007,99 min,"Action, Comedy, Crime",To-Hoi Kong,"Siu-Ming Tsui, Sai-Keung Fong","Sammo Kam-Bo Hung, Gillian Chung, Charlene Choi","When a precious Tibetan bead is stolen by rogue members of the mysterious Gemini Clan, the protectors of the bead enlist the help of some righteous former Gemini Clan members to retrieve the bead and bring the evil disciples to ju...","Cantonese, English, Filipino, Afrikaans","Hong Kong, China",2 nominations,https://m.media-amazon.com/images/M/MV5BMTczOTk2OTgtMjExYy00NzA2LThlZGEtMWZmYTZlM2Q3ZmIzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,759,tt0934949,movie,,,,,tt0934949,99.0,5.2,759.0,,2007
Sinbad: Afros and Bellbottoms,1993,TV-PG,17 Apr 1993,60 min,"Documentary, Comedy",Debbie Allen,Sinbad,"Sinbad, Donna Atkins, A.J. Jamal","In his second HBO comedy special, stand-up comedian Sinbad takes a nostalgic trip to the 1970s and jokes about the black culture from that decade, and pays homage to the Blaxploitation films and black family life during that era.",English,United States,,https://m.media-amazon.com/images/M/MV5BYjNiMzg0YTAtNzVlNC00NGE5LTlkZmMtNWI3NWE4ZmFlZmU0XkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,221,tt0938331,movie,03 Nov 1993,,,,tt0938331,60.0,8.0,221.0,,1993
Sinbad: Nuthin' But the Funk,1997,,19 Jul 1997,56 min,"Documentary, Comedy",Chuck Vinson,Sinbad,Sinbad,Sinbad hosts a stand up special from Aruba.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGY1MjgxNTMtMTZkNi00NzJiLWFmNmMtMDBkNWJkZmQ0Y2ZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,87,tt0938332,movie,,,,,tt0938332,56.0,6.4,87.0,,1997
Sinbad: Son of a Preacher Man,1996,,13 Apr 1996,56 min,"Documentary, Comedy",Chuck Vinson,Sinbad,Sinbad,Sinbad's special from Denver talking about family and his life experiences. Also takes Q&amp;A from the audience.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTYyODUwNjcxOF5BMl5BanBnXkFtZTcwNzU5Nzc0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,154,tt0938333,movie,24 Jul 2007,,,,tt0938333,56.0,7.1,154.0,,1996
Betrayal,1995,,,85 min,Drama,John Anderson,"John Anderson, Martyn Sanderson","Allen O'Leary, Agnieszka Rózanska, Piotr Grabowski",,"Polish, English, German",Poland,,,[],,,,tt0962637,movie,,,,,tt0962637,85.0,,,,1995
Fashion,2008,Not Rated,29 Oct 2008,167 min,"Drama, Romance",Madhur Bhandarkar,"Ajay Monga, Madhur Bhandarkar, Niranjan Iyengar","Priyanka Chopra Jonas, Kangana Ranaut, Mugdha Godse",A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that her glamorous new life has a price.,Hindi,India,15 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNzg4NDI0OV5BMl5BanBnXkFtZTcwNzIyMjk5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"13,380",tt0964516,movie,,"$191,442",,,tt0964516,167.0,6.9,13380.0,,2008
Sucker Punch,2011,PG-13,25 Mar 2011,110 min,"Action, Adventure, Fantasy",Zack Snyder,"Zack Snyder, Steve Shibuya","Emily Browning, Vanessa Hudgens, Abbie Cornish",A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,"English, German","United States, Canada",1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZDE1YWZiMzItZGEzOC00MTYyLWFiYWYtNGNlMmM0ZjAxM2RmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,6.1,"258,457",tt0978764,movie,,"$36,392,502",,,tt0978764,110.0,6.1,258457.0,33.0,2011
Hattrick,2007,,16 Mar 2007,110 min,"Comedy, Drama, Romance",Milan Luthria,Rajat Arora,"Nana Patekar, Danny Denzongpa, Paresh Rawal","Despite of cricket fever, there are two people in India who dislike it's influence over their lives. The first is Dr. Satyajit Chavan, who will not permit anyone in his home nor the hospital to view nor hear anything related to it...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMDFlZjE5NWQtNDJkZC00NmMxLTlhYzMtOWE1ZmVhMmIyYjlkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",,4.3,533,tt0979891,movie,,"$24,502",,,tt0979891,110.0,4.3,533.0,,2007
Like Stars on Earth,2007,PG,21 Dec 2007,162 min,"Drama, Family",Aamir Khan,Amole Gupte,"Darsheel Safary, Aamir Khan, Tisca Chopra",A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,"Hindi, English",India,28 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BNjVmMTlkNGYtYTM2OC00Yjc2LWIyYmQtMDY4ZmU1MWRlMjA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",,8.3,"227,525",tt0986264,movie,,"$1,223,869",,,tt0986264,162.0,8.3,227525.0,,2007
Frank and Cindy,2007,,25 Mar 2007,73 min,"Documentary, Biography, Drama",G.J. Echternkamp,,"Cynthia Brown, Frank Garcia","""Frank and Cindy"" is a deeply-personal documentary about Frank Garcia, an '80s one-hit wonder musician, and his blonde bombshell wife Cindy, who makes him live in the basement.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTE5OTMzNjQ4Ml5BMl5BanBnXkFtZTcwMDAyMzU0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,382,tt0986354,movie,,,,,tt0986354,73.0,6.9,382.0,,2007
Sherlock Holmes,2009,PG-13,25 Dec 2009,128 min,"Action, Adventure, Mystery",Guy Ritchie,"Michael Robert Johnson, Anthony Peckham, Simon Kinberg","Robert Downey Jr., Jude Law, Rachel McAdams",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"English, French","United States, Germany",Nominated for 2 Oscars. 10 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,7.5,"695,036",tt0988045,movie,,"$209,028,679",,,tt0988045,128.0,7.5,695036.0,57.0,2009
Naruto Shippûden: The Movie,2007,Not Rated,10 Nov 2009,94 min,"Animation, Action, Adventure",Hajime Kamegaki,"Masashi Kishimoto, Junki Takegami","Junko Takeuchi, Chie Nakamura, Yôichi Masukawa","A powerful spirit that once threatened to destroy the world is back! Naruto's mission is to protect a priestess named Shion, who is the only one with the power to seal away the monster.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BMjNiOWU3ODQtNDE4Zi00M2FlLWFjMjYtZDA0NGZiZTc3Yjc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,"5,447",tt0988982,movie,,,,,tt0988982,94.0,6.7,5447.0,,2007
A Love Story,2007,,15 Aug 2007,117 min,"Drama, Romance",Maryo J. de los Reyes,Vanessa R. Valdez,"Maricel Soriano, Aga Muhlach, Angelica Panganiban","What if you met the woman you wanted to make your wife after you married someone else? Ian Montes is a picture of success. Despite being a son of a shipping tycoon, Ian refused to just coast on his father's empire; he built his ow...","Filipino, Tagalog",Philippines,9 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BZWJhZGQ0ZmYtNmRmYi00YWNhLWJjNjQtMzVjNDc1MDFmMjFiXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,160,tt0990433,movie,,,,,tt0990433,117.0,6.5,160.0,,2007
Army of the Dead,2021,R,21 May 2021,148 min,"Action, Adventure, Crime",Zack Snyder,"Zack Snyder, Shay Hatten, Joby Harold","Dave Bautista, Ella Purnell, Omari Hardwick","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","English, Spanish, German, French, Bable, Polish",United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNjc0MDFjZmQtMWMxZi00YzY4LWI5N2EtOGQwM2IzZjRkYmY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,5.8,"198,365",tt0993840,movie,,,,,tt0993840,148.0,5.8,198365.0,57.0,2021
The Rental,2020,R,24 Jul 2020,88 min,"Drama, Horror, Mystery",Dave Franco,"Dave Franco, Joe Swanberg, Mike Demski","Dan Stevens, Alison Brie, Sheila Vand",Two couples rent a vacation home for what should be a celebratory weekend get-away.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMGM0MGNiNzUtNDI4MS00ZmU1LWE4ZWMtYTg2MDJiNTBiYTRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,5.7,"42,563",tt10003008,movie,,"$1,637,548",,,tt10003008,88.0,5.7,42563.0,62.0,2020
A Christmas Prince: The Royal Baby,2019,TV-PG,05 Dec 2019,84 min,"Family, Romance",John Schultz,"Nate Atkins, Karen Schaler","Rose McIver, Ben Lamb, Alice Krige","It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f...",English,United States,,https://m.media-amazon.com/images/M/MV5BNzEyM2UyMTYtZDI4ZS00MzM2LWE0MjgtMTU4YjI5NmNkMjU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}]",,5.4,"8,602",tt10006006,movie,,,,,tt10006006,84.0,5.4,8602.0,,2019
Kevin Hart: Irresponsible,2019,TV-MA,02 Apr 2019,60 min,Comedy,Leslie Small,Kevin Hart,Kevin Hart,"Stand-up comedian Kevin Hart talks about his family, travel and a year full of reckless behavior in front of a live sold-out crowd in London.",English,United States,,https://m.media-amazon.com/images/M/MV5BZTllYzhiNWUtYmM3NC00M2Q4LWEzNjMtMjQyYWQ0N2FkMGIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,6.6,"5,200",tt10009796,movie,,,,,tt10009796,60.0,6.6,5200.0,,2019
Patsy & Loretta,2019,TV-14,20 Apr 2019,88 min,"Biography, Drama, Music",Callie Khouri,Angelina Burnett,"Megan Hilty, Jessie Mueller, Kyle Schmid",An original movie about the friendship between country-music stars Patsy Cline and Loretta Lynn.,English,United States,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BNDAxMTQzMGMtMmYwOC00NGY4LWI1YjYtYzAxZmY0YTdhYzM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,"1,227",tt10016704,movie,,,,,tt10016704,88.0,6.8,1227.0,,2019
Liss Pereira: Reteniendo Liquidos,2019,,10 Apr 2019,59 min,Comedy,,,Liss Pereira,"Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.",Spanish,Brazil,,https://m.media-amazon.com/images/M/MV5BYjg2MjNkOWYtYzI4NS00MDZmLTk3MGItMTA2ZWFkYjQ3YjhiXkEyXkFqcGdeQXVyMzM0NTc2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,116,tt10018436,movie,,,,,tt10018436,59.0,6.5,116.0,,2019
The Young Messiah,2016,PG-13,11 Mar 2016,111 min,"Drama, Fantasy",Cyrus Nowrasteh,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice","Adam Greaves-Neal, Vincent Walsh, Sara Lazzaro","Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",English,"United States, South Korea",3 wins total,https://m.media-amazon.com/images/M/MV5BMTU4NzM3NzczMF5BMl5BanBnXkFtZTgwMzM0NjkwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33.0,5.7,"4,016",tt1002563,movie,,"$6,490,401",,,tt1002563,111.0,5.7,4016.0,33.0,2016
Ricardo Quevedo: Los Amargados Somos Mas,2019,,03 Apr 2019,58 min,Comedy,,,Ricardo Quevedo,,Spanish,,,https://m.media-amazon.com/images/M/MV5BNThmZmRiNGUtYTBhYy00ZWI5LThlNWYtYjVlMGE2MjMzMjkxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,125,tt10027954,movie,,,,,tt10027954,58.0,7.3,125.0,,2019
Grandmother's Farm,2013,,10 Dec 2013,71 min,"Comedy, Horror, Mystery",Ahmed Zain,Ibrahim Bin Mohamed,"Khalid Al Nuaimi, Yaser Al-Neyadi, Abdullah Alramsi",A guys' getaway to one of their grandmother's farm in the desert goes from fun to frightening when a mystery guest crashes the party.,Arabic,United Arab Emirates,,https://m.media-amazon.com/images/M/MV5BNTY1NjkxYTUtMmM4OS00NTJhLTg1NTUtYTAwNDVkMGE0NGRiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}]",,2.8,106,tt10033686,movie,,,,,tt10033686,71.0,2.8,106.0,,2013
