Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
Blade,1998,R,21 Aug 1998,120 min,"Action, Horror, Sci-Fi",Stephen Norrington,David S. Goyer,"Wesley Snipes, Stephen Dorff, Kris Kristofferson","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","English, Russian, Serbian",United States,5 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNzAzMmY3OWMtNDgyMS00Y2U4LTlmM2UtY2YwMmM0MDI5ODJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.1,"324,654",tt0120611,movie,N/A,"$70,087,718",N/A,N/A,tt0120611
Godzilla,1998,PG-13,20 May 1998,139 min,"Action, Sci-Fi, Thriller",Roland Emmerich,"Dean Devlin, Roland Emmerich, Ted Elliott","Matthew Broderick, Jean Reno, Maria Pitillo",French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,"English, French, Japanese, Russian, Spanish","United States, Japan",10 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMzdmYmUzYjAtMmJhNi00NGU3LWJiODYtM2I5MGFhZjBhM2NhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.5,"210,191",tt0120685,movie,N/A,"$136,314,294",N/A,N/A,tt0120685
The Mask of Zorro,1998,PG-13,17 Jul 1998,136 min,"Action, Adventure, Comedy",Martin Campbell,"Johnston McCulley, Ted Elliott, Terry Rossio","Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones","A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance.",English,"United States, Mexico, Germany",Nominated for 2 Oscars. 9 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMzA2MDgyYzMtNjc4OC00YjU0LWEzMWEtOTRhMTViODY0Mjk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.8,"206,947",tt0120746,movie,N/A,"$94,095,523",N/A,N/A,tt0120746
Saving Private Ryan,1998,R,24 Jul 1998,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","English, French, German, Czech",United States,Won 5 Oscars. 79 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.6,"1,598,938",tt0120815,movie,N/A,"$217,049,603",N/A,N/A,tt0120815
U.S. Marshals,1998,PG-13,06 Mar 1998,131 min,"Action, Crime, Thriller",Stuart Baird,"Roy Huggins, John Pogue","Tommy Lee Jones, Wesley Snipes, Robert Downey Jr.","U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZTdlYTU2OGYtZjljOS00ZjFhLTk5NjAtZDQwZmNkYzk4YWQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.6,"118,476",tt0120873,movie,N/A,"$57,167,405",N/A,N/A,tt0120873
Corpse Bride,2005,PG,23 Sep 2005,77 min,"Animation, Comedy, Drama","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","Johnny Depp, Helena Bonham Carter, Emily Watson","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",English,"United States, United Kingdom",Nominated for 1 Oscar. 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"319,371",tt0121164,movie,N/A,"$53,401,527",N/A,N/A,tt0121164
Chamatkar,1992,Not Rated,08 Jul 1992,171 min,"Comedy, Drama, Fantasy",Rajiv Mehra,"Shaukat Baig, Lilliput, Rajiv Mehra","Naseeruddin Shah, Shah Rukh Khan, Urmila Matondkar","When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNzkzODdkYjAtM2I5MC00MTFlLTgxYmEtOThiNzlkM2NjNGQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"7,310",tt0126234,movie,N/A,N/A,N/A,N/A,tt0126234
You've Got Mail,1998,PG,18 Dec 1998,119 min,"Comedy, Drama, Romance",Nora Ephron,"Miklós László, Nora Ephron, Delia Ephron","Tom Hanks, Meg Ryan, Greg Kinnear","Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business.",English,United States,6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BN2FhMWRiODYtMTQwMy00OTE2LTlhZjMtNWRmYmIyZjYwYTk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"238,946",tt0128853,movie,N/A,"$115,821,495",N/A,N/A,tt0128853
I Still Know What You Did Last Summer,1998,R,13 Nov 1998,100 min,"Horror, Mystery, Thriller",Danny Cannon,"Lois Duncan, Trey Callaway","Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood","The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",English,"United States, Mexico",5 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BOTA2ZDVlNGMtNDFmZi00YjIzLWJmZGQtNzQwODJkY2YwNGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,4.8,"81,882",tt0130018,movie,N/A,"$40,002,112",N/A,N/A,tt0130018
English Babu Desi Mem,1996,Not Rated,26 Jan 1996,170 min,"Comedy, Drama, Musical",Praveen Nischol,"G.M. Ayaz, S. Ali Raza","Shah Rukh Khan, Sonali Bendre, Rajeshwari","After his brother dies, wealthy Vikram reluctantly goes back to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BM2IwMzhmMTAtYjRmYy00OTc0LWJkYTYtNzk4M2IyNjcwM2I2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,"2,781",tt0136153,movie,N/A,N/A,N/A,N/A,tt0136153
Maya,1993,N/A,02 Jul 1993,130 min,"Drama, Mystery, Romance",Ketan Mehta,"Gustave Flaubert, Sitanshu Yashaschandra, Ketan Mehta","Deepa Sahi, Farooq Shaikh, Raj Babbar","A beautiful, wealthy woman's insatiable appetite for romance leads to tragedy and a police investigation.",Hindi,"France, India, United Kingdom",1 win,https://m.media-amazon.com/images/M/MV5BOWVhZDFmZDQtMzE5Mi00YmVkLWJkMTUtZjYzNGUzMmVmMzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"2,405",tt0137100,movie,N/A,N/A,N/A,N/A,tt0137100
Avvai Shanmugi,1996,N/A,10 Nov 1996,161 min,"Comedy, Drama",K.S. Ravikumar,"Crazy Mohan, K.S. Ravikumar","Kamal Haasan, Meena, Gemini Ganesan",A man disguises himself as a nanny to be with his daughter after his divorce.,Tamil,India,N/A,https://m.media-amazon.com/images/M/MV5BZGU3OTA1MWUtNjI4Yi00OWU2LWFhMWMtMDc1ZjhkMzU5OWFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"3,008",tt0139872,movie,N/A,N/A,N/A,N/A,tt0139872
Muthu,1995,N/A,23 Oct 1995,156 min,"Action, Comedy, Drama",K.S. Ravikumar,K.S. Ravikumar,"Rajinikanth, Meena, Sarath Babu","The movie is about a loyal servant, Muthu (Rajni), working for Zamindar Malayasimman (Sarath Babu) and the cunning plans by the uncle of Malasimman to capture the whole wealth which uncovers some mystery about Muthu.",Tamil,India,3 wins,https://m.media-amazon.com/images/M/MV5BYjM1NWVjOWMtMDhlMC00ZTkzLWI1N2UtNGJhNTJhYTA5ZjdiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"3,728",tt0140399,movie,N/A,N/A,N/A,N/A,tt0140399
The General's Daughter,1999,R,18 Jun 1999,116 min,"Crime, Drama, Mystery",Simon West,"Nelson DeMille, Christopher Bertolini, William Goldman","John Travolta, Madeleine Stowe, James Cromwell","When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.",English,"Germany, United States",3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNmZiZjk0OTQtZDhiNS00YzRjLWJmOWItZjM3ZGI4NDU5NDE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"67,337",tt0144214,movie,N/A,"$102,705,852",N/A,N/A,tt0144214
Any Given Sunday,1999,R,22 Dec 1999,162 min,"Drama, Sport",Oliver Stone,"Daniel Pyne, John Logan, Oliver Stone","Al Pacino, Dennis Quaid, Cameron Diaz",A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,English,United States,3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZDIyMGYxMWYtNmUyZC00N2M3LWI0ZGYtMTIwMTk3NmZiY2RkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"129,885",tt0146838,movie,N/A,"$75,530,832",N/A,N/A,tt0146838
Jeans,1998,Not Rated,24 Apr 1998,175 min,"Comedy, Drama, Romance",S. Shankar,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Nassar",The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,Tamil,India,4 wins total,https://m.media-amazon.com/images/M/MV5BYjc3ODhlZGMtZmFhOS00NGEwLWI4ZWEtZDhlZjg5MWYxZDBjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"4,124",tt0151121,movie,N/A,N/A,N/A,N/A,tt0151121
Bill Hicks: Revelations,1993,Not Rated,14 Sep 1993,57 min,"Documentary, Comedy",Chris Bould,Bill Hicks,Bill Hicks,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDQ3NTBlYTItNDI0Ni00NzQzLWIwMzctNDY4NDFjMzc5ZjJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"3,263",tt0152183,movie,N/A,N/A,N/A,N/A,tt0152183
Ujala,1959,TV-14,N/A,109 min,"Crime, Drama, Romance",Naresh Saigal,"Qamar Jalalabadi, Naresh Saigal, Manohar Singh Sehrai","Mala Sinha, Shammi Kapoor, Raaj Kumar","An impoverished male turns to crime, kills someone, tries to make a honest living but ends up becoming a suspect for theft.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZjljOGI4MTAtZjAwNi00MTU5LTk5YTktZDA3ZjU5MDExOWExXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,88,tt0157132,movie,N/A,N/A,N/A,N/A,tt0157132
West Beirut,1998,PG-13,30 Oct 1998,105 min,"Comedy, Drama, Romance",Ziad Doueiri,Ziad Doueiri,"Rami Doueiri, Naamar Sahli, Mohamad Chamas","In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascin...","Arabic, French","France, Norway, Lebanon, Belgium",8 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNzE0NzdkMmUtNTJlOC00ZGEyLTg1MDctZjdhNDQ4MTc5YzkyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.6,"4,739",tt0157183,movie,N/A,N/A,N/A,N/A,tt0157183
Croupier,1998,Not Rated,28 Jul 2000,94 min,"Crime, Drama, Thriller",Mike Hodges,Paul Mayersberg,"Clive Owen, Nick Reding, Nicholas Ball","An aspiring writer is hired as a croupier at a casino, where he realizes that his life as a croupier would make a great novel.",English,"United Kingdom, Ireland, France, Germany",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNjMwZmExNjUtMmMyMC00YmVmLTg5MWEtNDg3OWE3MzQ0YTAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.0,"24,198",tt0159382,movie,N/A,"$6,201,143",N/A,N/A,tt0159382
Mobile Suit Gundam II: Soldiers of Sorrow,1981,N/A,11 Jul 1981,139 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","After attacks by Char and Garma, White Base crew battle Zeon forces through Asia, Europe, Atlantic on way to Federation HQ. Crewmembers like Amuro, Bright, Kai, Sayla, Mirai, Fraw, Hayato overcome fears, losses to survive.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BM2Y2MjViYzQtY2M0Yy00ZmEyLThlM2MtZWYwNjU2OTg1ZjVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,908",tt0159510,movie,N/A,N/A,N/A,N/A,tt0159510
Mobile Suit Gundam III: Encounters in Space,1982,N/A,13 Mar 1982,144 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","Amuro Ray's White Base crew, now the 13th Autonomous Corps, rejoin the Earth Federation forces in space for the climactic battle against the Duchy of Zeon's military.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2U4NDc1OGEtMTU4NC00YTMyLTk2OGMtYTYwM2FjNjgyY2JhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"1,839",tt0159511,movie,N/A,N/A,N/A,N/A,tt0159511
Hollow Man,2000,R,04 Aug 2000,112 min,"Action, Horror, Sci-Fi",Paul Verhoeven,"Gary Scott Thompson, Andrew W. Marlowe","Kevin Bacon, Elisabeth Shue, Josh Brolin","A brilliant scientist's discovery renders him invisible, but transforms him into an omnipotent, dangerous megalomaniac.",English,"Germany, United States",Nominated for 1 Oscar. 7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BOWQ2OTk4YTMtNmM1Mi00YjczLWExMTktOWM1ODIyMzJmODMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,5.9,"144,058",tt0164052,movie,N/A,"$73,209,340",N/A,N/A,tt0164052
Under Suspicion,2000,R,15 Nov 2000,110 min,"Crime, Drama, Thriller",Stephen Hopkins,"John Wainwright, Claude Miller, Jean Herman","Morgan Freeman, Gene Hackman, Thomas Jane","A wealthy attorney in San Juan comes to the police station for ""10 minutes"" of follow-up questions to finding a 12-year-old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence point...","English, Spanish, Italian","France, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BY2QwNzRkYWYtYWNmNS00OWU5LTlhNTAtODk4NjA1YjU1MjVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.4,"28,123",tt0164212,movie,N/A,"$260,562",N/A,N/A,tt0164212
Dil Se..,1998,Not Rated,21 Aug 1998,163 min,"Drama, Romance",Mani Ratnam,"Mani Ratnam, Sujatha, Tigmanshu Dhulia","Shah Rukh Khan, Manisha Koirala, Preity G Zinta",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,Hindi,India,12 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOGU3NGY5ZWUtMWQxOS00ZTMzLWJjNTEtMjkyZDVlY2E4OGZmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.5,"32,231",tt0164538,movie,N/A,N/A,N/A,N/A,tt0164538
Duplicate,1998,Not Rated,08 May 1998,164 min,"Action, Comedy, Crime",Mahesh Bhatt,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Juhi Chawla, Sonali Bendre","In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",Hindi,India,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BZDVkMTQ3MGItNmQxMi00NjM5LTliOTEtNjgxZTU4ZThmYmIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"8,771",tt0164550,movie,N/A,N/A,N/A,N/A,tt0164550
Lagaan: Once Upon a Time in India,2001,PG,15 Jun 2001,224 min,"Drama, Musical, Sport",Ashutosh Gowariker,"Ashutosh Gowariker, Kumar Dave, Sanjay Dayma","Aamir Khan, Raghubir Yadav, Gracy Singh",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Hindi, English","India, United States",Nominated for 1 Oscar. 54 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BM2FmODM4OTktOTRjOS00ZTIzLWIzZjAtMDBhOGEzYThkNzMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.1,"126,682",tt0169102,movie,N/A,"$909,043",N/A,N/A,tt0169102
Beyrouth ya Beyrouth,1975,N/A,18 Oct 2020,111 min,Drama,Maroun Bagdadi,Oussama El-Aref,"Ezzat El Alaili, Mireille Maalouf, Joseph Bou Nassar",Beirut Oh Beirut (1975) follows four young Lebanese after the defeat of Lebanon by Israeli forces in the Six Day War of 1967.,Arabic,Lebanon,N/A,https://m.media-amazon.com/images/M/MV5BYmIwNjY5MGItZDc1MS00NTcyLWE0MjAtNjU5MjA4YzFkNGExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,142,tt0169599,movie,N/A,N/A,N/A,N/A,tt0169599
Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,17 Mar 2024,87 min,"Animation, Action, Drama","Hideaki Anno, Kazuya Tsurumaki",Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,Japanese,Japan,2 wins total,https://m.media-amazon.com/images/M/MV5BMGI2Y2RiYTctYWIwZi00NjA2LWFmYzYtZDhkNTk1ZGNmNDVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,8.1,"73,710",tt0169858,movie,N/A,"$1,302,300",N/A,N/A,tt0169858
Shikari: The Hunter,1991,N/A,01 Jan 1991,162 min,"Action, Adventure","Latif Faiziyev, Umesh Mehra","Vinay Shukla, Nikolai Rozhkov, Ulmas Umarbekov","Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva","Shankar and Chanchal earn their living by doing road shows. Once, Shankar sees Natasha on a circus poster and dreams of working with her. He gets an offer to work in the circus in Russia","Hindi, Russian","India, Soviet Union",N/A,https://m.media-amazon.com/images/M/MV5BNjNjZjQwMDAtMzY3Ni00NGU3LWFkMDQtYTZjMmFhZTEzM2EzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,93,tt0170416,movie,N/A,N/A,N/A,N/A,tt0170416
We Are All for the Fatherland,1979,TV-MA,18 Oct 2020,80 min,Documentary,Maroun Bagdadi,N/A,N/A,"After the 1979 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",French,"Lebanon, Canada, France",N/A,https://m.media-amazon.com/images/M/MV5BYmE4YmE3NzItOTJkYS00ZjI5LTk1YTktMWI0NmQzZmE2ZmY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,73,tt0170799,movie,N/A,N/A,N/A,N/A,tt0170799
Whispers,1980,N/A,N/A,92 min,Documentary,Maroun Bagdadi,Maroun Bagdadi,"Nabil Ismaïl, Marcel Khalife","At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.","Arabic, French","Lebanon, Canada, France",N/A,https://m.media-amazon.com/images/M/MV5BYTUzMjMzM2MtZWE0Yi00NjcyLWIxYjItMWUxYmFmYjMzODNhXkEyXkFqcGdeQXVyNDM1Mjc2NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,93,tt0170803,movie,N/A,N/A,N/A,N/A,tt0170803
Chaahat,1996,Not Rated,06 Jun 1996,151 min,"Drama, Romance",Mahesh Bhatt,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt","Roop and his father come to the city for medical treatment and Reshma falls in love with Roop. Roop loves Pooja, but when Reshma threatens to kill herself, Roop agrees to marry her.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BNjY1NzAxNzYtMGE1NS00NzMwLTljYzktOTE5ZWU3MDkyZTVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,"3,313",tt0172234,movie,N/A,N/A,N/A,N/A,tt0172234
"Girl, Interrupted",1999,R,14 Jan 2000,127 min,"Biography, Drama",James Mangold,"James Mangold, Lisa Loomer, Anna Hamilton Phelan","Winona Ryder, Angelina Jolie, Clea DuVall","Directionless teenager Susanna is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There she befriends a group of troubled women who deeply influence her life.",English,"United States, Germany",Won 1 Oscar. 9 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZWVhYzdiMTQtMzJkMC00YWEwLTkyNDEtNzkwMGQ3NTBhMzExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.3,"226,524",tt0172493,movie,N/A,"$28,912,646",N/A,N/A,tt0172493
Kuch Kuch Hota Hai,1998,Not Rated,16 Oct 1998,185 min,"Comedy, Drama, Musical",Karan Johar,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Hindi,India,32 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMmQ0ZjliZTgtMjQ3NC00N2NiLTkxNjktY2VkOTQ2N2QyODNkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,7.5,"61,359",tt0172684,movie,N/A,"$2,100,000",N/A,N/A,tt0172684
The Last Days,1998,PG-13,15 Jul 1999,87 min,"Documentary, War",James Moll,N/A,"Bill Basch, Martin Basch, Randolph Braham","In late 1944, even as they faced imminent defeat, the Nazis expended enormous resources to kill or deport over 425,000 Jews during the ""cleansing"" of Hungary. This Oscar-winning documentary, executive produced by Steven Spielberg,...","English, German, Hungarian",United States,Won 1 Oscar. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTNmNzkwZDctM2U1Ny00MWNjLWE2OWMtYmI4MWViZDJlOWI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.9,"5,946",tt0174852,movie,N/A,"$421,432",N/A,N/A,tt0174852
Aakhri Adaalat,1988,N/A,N/A,148 min,"Action, Thriller",Rajiv Mehra,"Mohan Kaul, Ravi Kapoor, Javed Siddiqui","Vinod Khanna, Dimple Kapadia, Jackie Shroff",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMWViZTZlYmEtOTMzMC00OGFjLTkzZWUtZjdmMjc2ZGJjNThiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,118,tt0177505,movie,N/A,N/A,N/A,N/A,tt0177505
