Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
Milano 2020,2021,N/A,08 May 2021,87 min,Documentary,"Stefano Paolo Giussani, Francesco Invernizzi","Stefano Paolo Giussani, Vito Salinaro","Massimo Clementi, Vito Salinaro, Marco Tarquinio",N/A,Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BYTNhZWIzOTAtZGNmZi00MmIxLTk5NzgtN2Y0MzM0MzE3OWYzXkEyXkFqcGdeQXVyMzM0OTE0MjQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14538398,movie,N/A,N/A,N/A,N/A
Cehov na scenite vo Makedonija 1945-2020 - Naucen Simpozium,2020,N/A,03 Nov 2020,111 min,Documentary,Nelko Nelkovski,Nelko Nelkovski,N/A,"Documentary film from the scientific symposium held in Skopje on October 31 and November 1, 2020, with the participation of eminent theatrical experts and theater critics from Northern Macedonia and the region.",Macedonian,Republic of Macedonia,N/A,N/A,[],N/A,N/A,N/A,tt14540076,movie,N/A,N/A,N/A,N/A
In Conversation with the Prime Minister 2020,2020,N/A,25 Dec 2020,27 min,Talk-Show,N/A,N/A,"Mercedes Stephenson, Justin Trudeau",In Conversation With the Prime Minister 2020.,English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt14545422,movie,N/A,N/A,N/A,N/A
Feliz 2020,2019,N/A,31 Dec 2019,1 min,Short,Rafa Coca,N/A,N/A,N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZmE1OTQ2NDYtYzZlNC00NmVjLWEyOGQtNGYzYjc1MmRlNzI4XkEyXkFqcGdeQXVyOTI1Mzk5MjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14569252,movie,N/A,N/A,N/A,N/A
2020 Wheelchair Tennis Global Challenge,2020,N/A,04 Dec 2020,N/A,"Documentary, Short",Takahisa Shiraishi,Takahisa Shiraishi,N/A,N/A,"Japanese, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt14585982,movie,N/A,N/A,N/A,N/A
"Goodbye, 2020",2021,N/A,11 Mar 2021,10 min,"Documentary, Short",Yuliya Kogol,Yuliya Kogol,"Volha Harnastayeva, Yuliya Kogol, Lina Miadzvedzeva","Yuliya's last 7 days of 2020 were filled with echoes of the past, fears and hopes for the future, an impossible weight and time that never waits, isolation and revelations, and light that you can always find in the heart of the da...",Russian,Belarus,N/A,N/A,[],N/A,N/A,N/A,tt14597930,movie,N/A,N/A,N/A,N/A
Eden Eden Eden (1970 - 2020),2020,N/A,N/A,10 min,Short,Amiel Courtin-Wilson,N/A,Lucy Kostos,N/A,French,Australia,N/A,N/A,[],N/A,N/A,N/A,tt14624058,movie,N/A,N/A,N/A,N/A
"PES: 2020, Estamos Mirando",2010,N/A,16 Nov 2010,12 min,Short,Joan Espino,Joan Espino,Francisco Espino Torres,N/A,Spanish,Dominican Republic,N/A,N/A,[],N/A,N/A,N/A,tt14635022,movie,N/A,N/A,N/A,N/A
Galway 2020 - The Handover,2021,N/A,07 May 2021,N/A,Documentary,Tomek Ciezki,N/A,"Victoria McCormack, Anna Mullarkey, Miah Reddan",N/A,English,Ireland,N/A,N/A,[],N/A,N/A,N/A,tt14662376,movie,N/A,N/A,N/A,N/A
"Coronavirus: Los Angeles, Spring 2020 (Stay at Home)",2020,N/A,22 Jul 2020,4 min,Short,Sean J. Daly,N/A,N/A,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14663474,movie,N/A,N/A,N/A,N/A
Nyhetsåret 2020- Årsrevyen,2021,N/A,02 Jan 2021,90 min,News,Hanna Thorsen,"Svein Bryn, Jon Gelius","Jon Gelius, Eline Buvarp Aardal, Bjørn Alexander",N/A,Norwegian,Norway,N/A,N/A,[],N/A,N/A,N/A,tt14674090,movie,N/A,N/A,N/A,N/A
"Día del niño, agosto 2020",2021,N/A,N/A,11 min,"Documentary, Short",Pablo Ferré,N/A,N/A,N/A,None,Uruguay,N/A,N/A,[],N/A,N/A,N/A,tt14682034,movie,N/A,N/A,N/A,N/A
Self-portrait 2020,2020,N/A,N/A,168 min,Documentary,Lee Dong-woo,Lee Dong-woo,Sang-yul Lee,"A devastating documentary portrait of a man who was once a promising filmmaker. Now in his fifties, Lee Sang-yeol is homeless, an alcoholic and unpredictable, but finds a kindred spirit in a young filmmaker he serendipitously enco...",Korean,South Korea,3 nominations,N/A,[],N/A,N/A,N/A,tt14708580,movie,N/A,N/A,N/A,N/A
10/31/2020,2021,N/A,28 May 2021,5 min,"Short, Romance",Jason Christ,Jason Christ,"Jerry Vancardo, Jason Christ","On October 31st, 2020, a whimsical afternoon hike through Forest Park in St. Louis, Missouri, reconstructs into a visual poem as a man reflects upon the deep love for his husband set against the backdrop of the ever-looming threat of",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTVhYTQ3ZmMtMGIyNC00MDFjLThkNzQtOGNmMmM2Yjk5YTE2XkEyXkFqcGdeQXVyMDYwMjM5Mg@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14714510,movie,N/A,N/A,N/A,N/A
Seeing 2020: The Censored Science of the COVID-19 Pandemic,2021,N/A,04 Mar 2021,64 min,Documentary,Adam Mariner,N/A,N/A,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjM0MTk1MTEtZGM3OS00OTI2LWE4ZTctYTc4YjBjOTJhZjQyXkEyXkFqcGdeQXVyMTM0OTI2MjMx._V1_SX300.jpg,[],N/A,N/A,N/A,tt14721766,movie,N/A,N/A,N/A,N/A
Kiss Off 2020 - New Year's Eve from Las Vegas,2021,N/A,01 Jan 2021,N/A,Music,Brian Lockwood,N/A,DJ Vice,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODcxYjg3NWEtMzhlOC00ZGE4LTg1YzAtMDExN2E0YmU3MzQ4XkEyXkFqcGdeQXVyNzcwNzQxMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13766580,movie,N/A,N/A,N/A,N/A
Season's Greetings from NASA 2020,2020,N/A,28 Dec 2020,N/A,"Animation, Short",Mark Hailey,Mark Hailey,Jori Kates,"It's winter in the Northern Hemisphere on Earth, but we're not the only place with ice and snow. From the frozen polar craters of Mercury to methane frost on the mountains of Pluto, enjoy season's greetings from around the solar syst",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGJhNTI2MDAtMDliYS00YjNlLThhMWQtMmMzY2Q0OWEwY2ViXkEyXkFqcGdeQXVyMjk5MDEzMjA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14285958,movie,N/A,N/A,N/A,N/A
2020 as a Kid,2021,N/A,20 Mar 2021,N/A,"Documentary, Short",Harley Jay,Harley Jay,Harley Jay,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDNmNGJmMTUtMjZlNy00NzE1LWFkOGEtYmRhZTE3MjUzYzJmXkEyXkFqcGdeQXVyMTIzODkzNTkz._V1_SX300.jpg,[],N/A,N/A,N/A,tt14213466,movie,N/A,N/A,N/A,N/A
"O Ah! das coisas, 6 de Abril 2020",2020,N/A,06 Apr 2020,2 min,Short,Rita Azevedo Gomes,N/A,N/A,"Short film released through the Gestos and Fragmentos platform during the COVID-19 quarantine. This short was released with another short titled O Ah. das coisas, 21 de Abril 2020 a few weeks later, each with the intent of documentin",None,Portugal,N/A,N/A,[],N/A,N/A,N/A,tt14247644,movie,N/A,N/A,N/A,N/A
HBCU Virtual Homecoming 2020,2020,N/A,21 Oct 2020,N/A,Music,Jarred McGriff,"Corey Arvinger (created by), Ashlee Graham, Kristin Meyers","Darren 'Big Baby' Brand, 2 Chainz, Anthony Anderson, Cortez Bryant",N/A,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BYTJlZWIzMjktNjhmZi00ODNjLWFkMzgtNWI2YWM5OTE1ZDUyXkEyXkFqcGdeQXVyMzM3OTA3MzE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14251930,movie,N/A,N/A,N/A,N/A
2020: The Year That Stopped the World,2021,N/A,N/A,N/A,Documentary,Ben Howells,Ben Howells,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt14265704,movie,N/A,N/A,N/A,N/A
Hallows' Eve 2020,2021,N/A,01 May 2021,16 min,"Short, Horror",Montell Bryant,Montell Bryant,"Zach Kaltenbach, Mahpara Khan, Deanna Pak",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14294330,movie,N/A,N/A,N/A,N/A
Bon Jovi 2020: On a Night Like This,2020,N/A,29 Nov 2020,59 min,Music,Alex Horwitz,N/A,"Jon Bon Jovi, Tico Torres, Hugh McDonald","With their tour canceled due to the COVID-19 global pandemic, Bon Jovi gathers in Nashville for a one-time-only performance of their 15th studio album, 2020.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzYxOTI4NDktZmE0Yi00MWI1LWExYzUtNmY2YTI0MTVhZDcyXkEyXkFqcGdeQXVyMDIzNTE3MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14305674,movie,N/A,N/A,N/A,N/A
BreakTudo Awards 2020,2020,N/A,24 Oct 2020,N/A,Music,"Marcos Daruzves, Victor Neves",N/A,"Pedro Arcafra, Josh Beauchamp, Giovanna Bianco, Gizelly Bicalho",N/A,Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BNjZiOGNmNDgtYjJkMy00OWY1LTgyMjQtMTAyZWJhN2JiMmEzXkEyXkFqcGdeQXVyODY1NzEwMTQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14308294,movie,N/A,N/A,N/A,N/A
Green Carpet Fashion Awards 2020,2020,N/A,10 Oct 2020,N/A,N/A,Giorgio Testi,N/A,"Robert Downey Jr., Colin Firth, Zendaya",N/A,English,"Italy, UK",N/A,N/A,[],N/A,N/A,N/A,tt14308382,movie,N/A,N/A,N/A,N/A
"Marbachumentary (Matthew Skinner, 2020)",2020,N/A,08 Sep 2020,N/A,Documentary,Matthew Skinner,A.J. Mireles (Field Ethnographer),"Art S. Mireles, C.J. Morales, Gilbert Rodriguez, Greg Ruiz","Diving into the past of this, now iconic, road can only be done by insider perspectives of residents and local business owners. Marbachumentary was a two day film project that expanded to a...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmJmMWQ4YjktZDYyNi00Mzk3LTllMzYtMTM3YWNmNDA1ZjZjXkEyXkFqcGdeQXVyNzk4MjYxNzA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14311168,movie,N/A,N/A,N/A,N/A
iHeartRadio Jingle Ball 2020,2020,N/A,14 Dec 2020,N/A,Music,"Joel Gallen, Devin Dehaven",N/A,"Doja Cat, Billie Eilish, Finneas O'Connell",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14316458,movie,N/A,N/A,N/A,N/A
Baidyanath 2020,2020,N/A,20 Jun 2020,1 min,"Short, Family",Himanshu Tiwari,Sujit,N/A,This Tvc is for immunity booster. Baidyanath is 100 years old company which is into medicine related products. Baidyanath Amla Juice is made from the 100% pure extract of Indian gooseberry or Amla. It possesses high amount of vita...,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BODMzZmIxZDUtNWVhYi00YTJjLTgzODYtYzgyODJjMDA1ZDA4XkEyXkFqcGdeQXVyMjg4MTM0OTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14319538,movie,N/A,N/A,N/A,N/A
Framed (Nov 2020) Australia,2020,N/A,20 Nov 2020,5 min,"Short, Thriller",Helen McKenzie Ross,Helen McKenzie Ross,Helen McKenzie Ross,A suspect believes she is being framed for the murder of a female from her past.,English,Australia,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOWU3OTgyNGQtY2Y0Yy00MTViLWI5ZDgtYTcwMGM3ODhkN2JjXkEyXkFqcGdeQXVyMTI2NDEyMjkx._V1_SX300.jpg,[],N/A,N/A,N/A,tt14332362,movie,N/A,N/A,N/A,N/A
Boy Meets World 2020,2020,N/A,18 Jul 2020,2 min,"Short, Biography",Jonathan S. Gift,Jamal Scott,Jamal Scott,N/A,English,Trinidad and Tobago,N/A,N/A,[],N/A,N/A,N/A,tt14357236,movie,N/A,N/A,N/A,N/A
"TV Patrol live streaming December 10, 2020",2020,N/A,10 Dec 2020,N/A,N/A,N/A,N/A,N/A,N/A,Filipino,Philippines,N/A,https://m.media-amazon.com/images/M/MV5BOTNlM2E0YzMtOGMwMC00ZmRhLTgyMTEtNjM4OWMzMmFhMmUwXkEyXkFqcGdeQXVyNDkwMzY5NjQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14359306,movie,N/A,N/A,N/A,N/A
LAVA 303 - Planet Dino 2020...,2020,N/A,08 Sep 2020,9 min,"Documentary, Short",Nadine Lang,N/A,Conni Maly,N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMzhhNTk2MjEtMDg0NC00YzBiLWFjNmMtYzgyMjBkMzM3YjdmXkEyXkFqcGdeQXVyNDIwNzUzOA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14362616,movie,N/A,N/A,N/A,N/A
#Alive (2020),2020,N/A,09 Nov 2020,N/A,N/A,Charlene Bayer,"Charlene Bayer, Kelly Wright","Charlene Bayer, Kelly Wright",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt14376680,movie,N/A,N/A,N/A,N/A
22.44.2020,2020,N/A,N/A,N/A,"Short, Drama",Akhila D. Kotowski,N/A,"Marie Julie Bretschneider, Anja Kimmelmann",N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BZDA1YWM2MmEtM2VkNy00NTBkLTkxNGMtMDEyMWM1N2M4N2U1XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14386842,movie,N/A,N/A,N/A,N/A
Farmers Protest India 2020-2021,2021,N/A,05 Apr 2021,N/A,"Documentary, Short",Surya Teja Kotte,N/A,N/A,N/A,English,India,N/A,https://m.media-amazon.com/images/M/MV5BNGIwYzM2YzItMzhlZS00MzQ3LTk3ZTgtMjFiMmRiODRkNGVmXkEyXkFqcGdeQXVyNjQ2NzE2NDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14398498,movie,N/A,N/A,N/A,N/A
Calgary Expo 2020,2020,N/A,28 May 2020,3 min,"Documentary, Short",G. Hunter,N/A,N/A,N/A,English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt13904916,movie,N/A,N/A,N/A,N/A
Art 465 Exhibition Fall 2020,2020,N/A,11 Dec 2020,8 min,"Documentary, Short",G. Hunter,N/A,"Gabriela Celis, G. Hunter, Kimberly O'Blenes",N/A,English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt13905174,movie,N/A,N/A,N/A,N/A
Big adventure on the car 2020. Moscow-Krasnoyarsk,2020,N/A,07 Oct 2020,126 min,"Adventure, Comedy",Arthur Anaseev,N/A,"Arthur Anaseev, Sergey Komissarov",N/A,Russian,Russia,N/A,N/A,[],N/A,N/A,N/A,tt13905460,movie,N/A,N/A,N/A,N/A
Selfie 2020,2021,N/A,01 Apr 2021,N/A,Documentary,Grant Kahler,N/A,N/A,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWRlNWExMzktZjU3Yi00YWY2LWEyODMtN2ZmMDlmN2U5NjViXkEyXkFqcGdeQXVyMTA1Mjg2OTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14030078,movie,N/A,N/A,N/A,N/A
Kshana Kshanam 2020,2021,N/A,21 Jan 2021,33 min,"Short, Thriller",Premsundeep,Premsundeep,Adhire Abhi,The life of man who addicted to Smoking which turns his life into dramatic. He lost his mother because of his habits. How he leads life with his mother memories ?,Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BYjJjYWRmMWUtMjE5Mi00MmZkLTkwMjktN2Q5OWI2ZTQwMWZhXkEyXkFqcGdeQXVyMTI2OTgzODEz._V1_SX300.jpg,[],N/A,N/A,N/A,tt14039866,movie,N/A,N/A,N/A,N/A
Promotional Video October 2020: Beesley's Bakes,2020,N/A,18 Oct 2020,1 min,Short,Mitchell Burrows,N/A,Richard Jackson,October 2020 promotional video for Beesley's Bakes,English,UK,N/A,N/A,[],N/A,N/A,N/A,tt14041250,movie,N/A,N/A,N/A,N/A
Gala Especial de Navidad Pablo Alborán 2020,2020,N/A,24 Dec 2020,70 min,Music,José María Sánchez-Chiquito Morón,N/A,"Pablo Alborán, Amaia, Camilo, Diego de Morao",N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt14073862,movie,N/A,N/A,N/A,N/A
CDMX 2020,2021,N/A,N/A,N/A,"Short, Drama",Santiago Luchini,Santiago Luchini,"Fede Farrell, Ricardo Muñoz Senior, Aldana Troncoso",N/A,Spanish,"Argentina, Mexico",N/A,https://m.media-amazon.com/images/M/MV5BYjVlMmZhYmEtZWU5Mi00MTM4LWE1YzItOWMyODgxMmZjMjE0XkEyXkFqcGdeQXVyODI3ODkwODc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14082552,movie,N/A,N/A,N/A,N/A
The marked ones 2020,2020,N/A,20 Aug 2020,48 min,Comedy,N/A,Moshe Ivgy,"Arez Avraham, Valery Okhotin, Nurit Shalom",N/A,Sign ,Israel,N/A,https://m.media-amazon.com/images/M/MV5BMjY3NmU0NjEtNWNmNS00NmZlLWE3NTgtYTI5YTYxMWI5NzllXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14097392,movie,N/A,N/A,N/A,N/A
Jan Lisiecki in der Philharmonie Essen: Solo-Rezital Klavierfestival Ruhr 2020,2021,N/A,22 Feb 2021,75 min,Music,Bernhard Fleischer,N/A,Jan Lisiecki,N/A,German,N/A,N/A,https://m.media-amazon.com/images/M/MV5BM2UzMDg5ZTUtYTBjOC00MGU2LWE5NzctNmQ3NGJlOGQwZGVhXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14097666,movie,N/A,N/A,N/A,N/A
Janes Addiction Replay 2020 - Virtual Lollapalooza,2021,N/A,01 Feb 2021,42 min,"Short, Music",Pablo Aura,N/A,"Perry Farrell, Dave Navarro, Stephen Perkins",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt14101604,movie,N/A,N/A,N/A,N/A
DJ Pryors 2020 Grad Shout Out,2020,N/A,17 Aug 2020,N/A,"Short, Talk-Show",Christian Newlands,"Christian Newlands, D.J. Pryor","Christian Newlands, D.J. Pryor","The 2020 Covid-19 virus is the first pandemic in decades. Comedian DJ Pryor and his media team immediately realize this will change the way the world lives. While adjusting to this change, DJ quickly brings up how a member of his ...",English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14103456,movie,N/A,N/A,N/A,N/A
2020 Be Like,2020,N/A,25 Dec 2020,N/A,"Short, Comedy",Stephen Reedy,Stephen Reedy,"Quincy Cho, B.J. Clinkscales, Kate Freund",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14109318,movie,N/A,N/A,N/A,N/A
Styremøte OsloMet 08.12.2020,2020,N/A,08 Dec 2020,150 min,Talk-Show,N/A,N/A,"Trine Syvertsen, Nils Pharo, Nina Waaler, Ola Gimse Estenstad",N/A,Norwegian,Norway,N/A,N/A,[],N/A,N/A,N/A,tt14117028,movie,N/A,N/A,N/A,N/A
Igric 2020,2020,N/A,26 Sep 2020,N/A,News,Yvonne Vavrová,Yvonne Vavrová,"Peter Kocis, Zuzana Porubjaková",N/A,Slovak,Slovakia,N/A,N/A,[],N/A,N/A,N/A,tt14126222,movie,N/A,N/A,N/A,N/A
2020 iHeart Fiesta Latina,2020,N/A,08 Oct 2020,N/A,Music,N/A,N/A,"Anitta, Camilo, Nicky Jam, Ozuna",N/A,Spanish,USA,N/A,N/A,[],N/A,N/A,N/A,tt14127868,movie,N/A,N/A,N/A,N/A
2020 Vidya Gaem Awards,2021,Not Rated,28 Feb 2021,135 min,Talk-Show,Counter,"Beatstar, Cee, Db","Counter, DukeVocals, Stephen Fitts","4chan's ""/v/- Video Games"" board votes on the best and worst games of the year.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BNzZlNTI2MGEtODE5NC00ZjExLWI5MDktM2YxYjk3MDg3NTg3XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14148186,movie,N/A,N/A,N/A,N/A
Summer 2020,2022,N/A,07 Feb 2022,N/A,Short,Gabrielle Conforti,Gabrielle Conforti,"Gabrielle Conforti, Lisa Papantoniou",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDZiNDY0MjMtZWZhYi00MTA0LWIwYTYtYjZhYWMyZTcwZDdiXkEyXkFqcGdeQXVyNDIwOTkyNw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14153502,movie,N/A,N/A,N/A,N/A
2020 International Emmy Founders Award Presentation,2020,N/A,23 Nov 2020,11 min,Short,N/A,N/A,"Billy Crystal, Andrew Cuomo, Robert De Niro",Andrew Cuomo is given the 2020 TV Founders Emmy Award by Bruce Paisner at the 48th International Emmy Awards.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2E5ZTk1NmItY2IxZC00YjQyLWE3ZTMtMGM5NTBkM2UxOGFiXkEyXkFqcGdeQXVyNzExMzc0MDg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14161246,movie,N/A,N/A,N/A,N/A
Miss Universe 2020,2021,N/A,16 May 2021,N/A,Reality-TV,N/A,N/A,"Asya Branch, Julia Gama, Carmen Jaramillo, Natasha Joubert",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt14168110,movie,N/A,N/A,N/A,N/A
Wild Heart 1981/2020,2020,N/A,03 Dec 2020,7 min,Short,Zach Dorn,Zach Dorn,"Zach Dorn, Stevie Nicks","While browsing YouTube at the start of the 2020 COVID pandemic, a filmmaker lingers on a video of Stevie Nicks singing ""Wild Heart"" in the studio of Annie Liebovitz in 1981.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTdmMzZlZWQtNGNmOC00MzNiLWE3NGItZjQ5MTRlMjFiYjBmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14171402,movie,N/A,N/A,N/A,N/A
My Brother's Keeper 2020,2020,N/A,01 Oct 2020,N/A,"Short, Drama",Jamiek Foster,Jamiek Foster,"Jamiek Foster, Kay Lofton",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt14205788,movie,N/A,N/A,N/A,N/A
2020 - Trumpism and the Jews,2021,N/A,17 Dec 2021,N/A,Documentary,Charlie Spickler,Charlie Spickler,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt13873736,movie,N/A,N/A,N/A,N/A
SOS (2020),2020,N/A,N/A,2 min,"Animation, Short",Áron Gauder,Áron Gauder,"Hanna Kamarás, Péter Kálloy Molnár, Alíz Mullhauser, Balázs Vida","5 short education films for children psychology about different disease as ""Eating disorder"", ""Addiction"", ""Hurted"", ""ADHD"", ""Depression""",Hungarian,Hungary,N/A,https://m.media-amazon.com/images/M/MV5BNGUxODg0YWYtMGRkNy00MWNhLTlkNTMtYjI4NzgxMWViYjZmXkEyXkFqcGdeQXVyMTczNzE0MzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13879378,movie,N/A,N/A,N/A,N/A
Lanka Premier League 2020-Promo,2020,N/A,26 Nov 2020,N/A,Sport,Atul Bachhav,N/A,N/A,N/A,English,India,N/A,https://m.media-amazon.com/images/M/MV5BMzEyYTk1NzMtMWFjZi00YzZiLWJlZTEtMTZlYjFiMzZiNmRjXkEyXkFqcGdeQXVyMjQ2OTA0MTQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13885618,movie,N/A,N/A,N/A,N/A
Lockdown (Kino Tarragonik 2020),2020,N/A,29 Jun 2020,N/A,Short,Iria Santos,N/A,"Xaris Miller, Agata Pisiewicz",N/A,English,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMWU2YTYxOWQtMjAxZC00YmQ3LTg5OWUtNjA5NDU5OGFmZmVmXkEyXkFqcGdeQXVyMTI4NTgwMjAx._V1_SX300.jpg,[],N/A,N/A,N/A,tt13889704,movie,N/A,N/A,N/A,N/A
Surviving 2020,2021,N/A,01 Feb 2021,90 min,Documentary,Thomas Angeletti,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt13891066,movie,N/A,N/A,N/A,N/A
"Chinatown, 2020",2021,N/A,01 Apr 2021,N/A,Short,Tony Wang,N/A,N/A,N/A,"Chinese, English, Cantonese",United States,N/A,N/A,[],N/A,N/A,N/A,tt13715620,movie,N/A,N/A,N/A,N/A
All our food does THIS... - BFDI's Best TikToks of 2020,2021,N/A,01 Jan 2021,N/A,"Animation, Short","Cary Huang, Michael Huang","Cary Huang, Michael Huang","Sabrina Barba, Kenzie Bryant, Niall Burns",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13756440,movie,N/A,N/A,N/A,N/A
Hontou ni atta kowai hanashi 2020 norowareta Ie,2020,N/A,16 Oct 2020,N/A,Horror,"Hiromitsu Amano, Noriko Mita",Hiromitsu Amano,"Takuma Wada, Hiroe Igeta, Kouki Matsuda",N/A,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNDRjZTUzMjMtMjEwNy00MjVhLTg3MmMtNTlmYmNlYWIwOTFkXkEyXkFqcGdeQXVyMzEwODI5MzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13763288,movie,N/A,N/A,N/A,N/A
Vision 2020,2020,N/A,01 Jun 2020,N/A,Short,Alexandra Borbolla,Alexandra Borbolla,N/A,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODg0ZWQ3Y2YtNzY1Mi00MzdmLWIzNzctZTlkNWFjMGUzYTg2XkEyXkFqcGdeQXVyMTI0ODE3MTI4._V1_SX300.jpg,[],N/A,N/A,N/A,tt13918332,movie,N/A,N/A,N/A,N/A
Miss Earth 2020,2020,N/A,29 Nov 2020,N/A,Reality-TV,N/A,N/A,"Natalia Barulich, Lorraine Schuck, Patricia Zavala",N/A,English,N/A,N/A,N/A,[],N/A,N/A,N/A,tt13933262,movie,N/A,N/A,N/A,N/A
Sammy J's 2020 Dumpster Fire Spectacular,2020,N/A,13 Dec 2020,60 min,Comedy,Evan Munro-Smith,"Sammy J, Chris McDonald, James Pender",Sammy J,"Throughout the dumpster fire that was 2020, Sammy J and his team turned up week in, week out to deliver your fix of topical satire. Sammy J and friends look back on an objectively hideous 12 months.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BYjcwYzcwNWUtMjIwNy00NTljLWI3Y2ItYjVkODBhY2YzZTlkXkEyXkFqcGdeQXVyMjgxODY4OTY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt13959418,movie,N/A,N/A,N/A,N/A
Blu View's Entire Blu Ray Collection 2020,2020,N/A,03 Apr 2020,59 min,Documentary,N/A,Svp,Blu View,Blu View gives viewers a look at his entire Blu-ray collection.,English,UK,N/A,N/A,[],N/A,N/A,N/A,tt13960294,movie,N/A,N/A,N/A,N/A
Miss Teen USA 2020,2020,N/A,07 Nov 2020,N/A,Family,N/A,N/A,"Ki'ilani Arruda, Audrey Eckert, Shayla Jackson, Shayla Montgomery",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt13964194,movie,N/A,N/A,N/A,N/A
